Date : 2025-04-06 19:19:40
Directory : /home/lynx/dev/wallpaper_app/lib
Total : 52 files,  1689 codes, 110 comments, 260 blanks, all 2059 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         52 |      1,689 |        110 |        260 |      2,059 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         52 |      1,689 |        110 |        260 |      2,059 |
| . (Files)                                                                                                          |          4 |         70 |          0 |         11 |         81 |
| core                                                                                                               |         18 |        454 |        109 |        117 |        680 |
| core/domain                                                                                                        |          1 |         31 |          0 |          4 |         35 |
| core/domain/entities                                                                                               |          1 |         31 |          0 |          4 |         35 |
| core/errors                                                                                                        |          1 |         51 |          0 |          7 |         58 |
| core/functions                                                                                                     |          1 |         13 |          0 |          2 |         15 |
| core/manager                                                                                                       |          2 |         19 |          0 |          7 |         26 |
| core/manager/navigation                                                                                            |          2 |         19 |          0 |          7 |         26 |
| core/models                                                                                                        |          1 |         11 |          0 |          4 |         15 |
| core/repos                                                                                                         |          2 |         41 |          0 |          7 |         48 |
| core/utils                                                                                                         |          5 |        137 |        109 |         70 |        316 |
| core/widgets                                                                                                       |          5 |        151 |          0 |         16 |        167 |
| features                                                                                                           |         30 |      1,165 |          1 |        132 |      1,298 |
| features/category_view                                                                                             |          5 |        125 |          0 |         20 |        145 |
| features/category_view/data                                                                                        |          1 |         23 |          0 |          4 |         27 |
| features/category_view/presentation                                                                                |          4 |        102 |          0 |         16 |        118 |
| features/category_view/presentation (Files)                                                                        |          1 |         10 |          0 |          3 |         13 |
| features/category_view/presentation/view                                                                           |          3 |         92 |          0 |         13 |        105 |
| features/category_view/presentation/view (Files)                                                                   |          1 |          9 |          0 |          3 |         12 |
| features/category_view/presentation/view/widgets                                                                   |          2 |         83 |          0 |         10 |         93 |
| features/favorite_view                                                                                             |          2 |         17 |          0 |          5 |         22 |
| features/favorite_view/presentation                                                                                |          2 |         17 |          0 |          5 |         22 |
| features/favorite_view/presentation (Files)                                                                        |          1 |          9 |          0 |          2 |         11 |
| features/favorite_view/presentation/widgets                                                                        |          1 |          8 |          0 |          3 |         11 |
| features/home_view                                                                                                 |         17 |        778 |          1 |         77 |        856 |
| features/home_view (Files)                                                                                         |          2 |         60 |          0 |          9 |         69 |
| features/home_view/data                                                                                            |          1 |          5 |          0 |          2 |          7 |
| features/home_view/data/Entities                                                                                   |          1 |          5 |          0 |          2 |          7 |
| features/home_view/presentation                                                                                    |         14 |        713 |          1 |         66 |        780 |
| features/home_view/presentation (Files)                                                                            |          1 |         16 |          0 |          2 |         18 |
| features/home_view/presentation/cubits                                                                             |          2 |         82 |          1 |         16 |         99 |
| features/home_view/presentation/cubits/catch_trending                                                              |          2 |         82 |          1 |         16 |         99 |
| features/home_view/presentation/widgets                                                                            |         11 |        615 |          0 |         48 |        663 |
| features/settings_view                                                                                             |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation                                                                                |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation/view                                                                           |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation/view (Files)                                                                   |          1 |          9 |          0 |          2 |         11 |
| features/settings_view/presentation/view/widgets                                                                   |          5 |        236 |          0 |         28 |        264 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/lynx/dev/wallpaper_app/lib/app_colors.dart                                                                   | Dart     |          6 |          0 |          2 |          8 |
